rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,date_of_birth,sorting_key
rec-6058-org,robert,clarke,4.0,blythe close,brentwood vlge,devonport,3178,19510506.0,6058
rec-4926-org,melanie,garnett,9.0,byrne street,,mirrabooka,2870,,4926
rec-4724-org,david,white,17.0,halford crescent,,,7030,19300220.0,4724
rec-3130-org,jairus,kongkerntune,77.0,mcgill street,harrington,berriedale,2190,19430702.0,3130
rec-3825-org,emma,wilkins,12.0,mcginness street,,wingham,3127,19581221.0,3825
rec-10598-org,charlotte,kiek,4.0,brewster place,mayo specialist medical centre cnr comme,wamberal,2160,19370227.0,10598
rec-3095-org,sophie,goldsworthy,63.0,sparkes close,,carlingford,5042,19600227.0,3095
rec-5622-org,joshua,beaty,10.0,sproule circuit,on river,lower templestowe,6107,19500717.0,5622
rec-9618-org,daniel,hutcheson,9.0,badimara street,,blue haven,4104,19111203.0,9618
rec-1812-org,chevonne,wang,24.0,osburn drive,caroona village,yarrawonga,2016,,1812
rec-2658-org,jasper,merkoureas,39.0,strutt place,,herberton,7248,19820911.0,2658
rec-2899-org,zac,kang,19.0,lachlan street,2/98-latchford barracks,newham,2500,19371126.0,2899
rec-5843-org,noah,grimsley,24.0,,,murray bridge,2430,19301028.0,5843
rec-7355-org,alexandra,juskevics,,rivett street,medical centre,san remo,7008,19581213.0,7355
rec-8497-org,henry,reid,176.0,pinkerton circuit,white meadows,lemon tree passage,4565,19050707.0,8497
rec-6112-org,angelica,bradshaw,122.0,nardoo crescent,,como,3134,19301209.0,6112
rec-8009-org,jake,schnieder,1.0,mcilwraith close,bulliac street,devonport,2023,19500108.0,8009
rec-6713-org,oliver,carbone,18.0,,galloway,ravenshoe,2680,19740722.0,6713
rec-5901-org,alexandra,nicker,18.0,parkwood road,,st albans,3636,19841118.0,5901
rec-9426-org,david,scrimgeour,55.0,rischbieth crescent,,moe,3018,19491013.0,9426
rec-5606-org,alexander,fysh,4.0,adcock place,villa 2,knoxfield,4510,19171128.0,5606
rec-1877-org,chloe,orchard,74.0,badimara street,poplar bend,lakemba,2620,,1877
rec-2606-org,kai,klemm,99.0,namadgi circuit,,barmera,4567,19870214.0,2606
rec-2294-org,lauren,butt,87.0,casey crescent,,currajong,3150,19550823.0,2294
rec-9939-org,sarsha,burford,228.0,doerner place,rosetta village,west lakes,2615,19580417.0,9939
rec-529-org,breeanne,white,9.0,marrakai street,,manly vale,7051,19920603.0,529
rec-2511-org,hannah,campbell,311.0,wells road,,cronulla,3350,19890922.0,2511
rec-10122-org,harry,boeyen,295.0,brigalow street,kalkee,regents park,3169,19491016.0,10122
rec-5684-org,jackson,chandler,576.0,totterdell street,,forrestfield,2541,19490328.0,5684
rec-8024-org,samuel,,2.0,cheeke place,meadowview,elliott,3160,19900605.0,8024
rec-9441-org,isabella,crossman,52.0,baracchi crescent,,highett,5067,19791006.0,9441
rec-5459-org,hannah,morrison,3.0,meeson street,kelgoola,edgewater,6623,19460122.0,5459
rec-6761-org,baxter,georgiadis,218.0,wild street,caroki,box hill south,3976,,6761
rec-8729-org,thomas,nguyen,47.0,murranji street,,plumpton,3207,19580517.0,8729
rec-5567-org,jackson,mason,53.0,,,bridgewater,3204,19270521.0,5567
rec-1124-org,mitchell,,28.0,leahy close,,newee creek,2100,19760619.0,1124
rec-4824-org,lauren,farnham,10.0,headdy place,beltrasna angus stud,oakden,3030,19200508.0,4824
rec-9609-org,william,rau,23.0,corrigan place,,north haven,3305,19070809.0,9609
rec-6280-org,angelica,wilkins,20.0,mewton place,,island beach,4020,19780822.0,6280
rec-2714-org,tayla,brooker,215.0,wilkinson street,,kingaroy,4508,19580822.0,2714
rec-7137-org,jasmine,cropper,26.0,stockdale street,,toowong,2291,19010908.0,7137
rec-3786-org,matilda,millar,7.0,duterrau crescent,avonlea park rmb 4045,winston hills,2161,19320725.0,3786
rec-5535-org,riley,raymundo,55.0,murranji street,,branxton,4879,19791117.0,5535
rec-1198-org,julia,allchin,53.0,mulley street,,frenchs forest,6062,19470319.0,1198
rec-9309-org,lauren,nguyen,20.0,osmand street,pine view,st kilda east,2135,19820916.0,9309
rec-663-org,william,geue,5.0,shandon place,,warburton,2075,19831031.0,663
rec-2159-org,eliza,ryan,61.0,grounds crescent,,morpeth,2289,19720215.0,2159
rec-9202-org,lachlan,liddy,38.0,wrenfordsley place,,braidwood,2199,19000717.0,9202
rec-7372-org,,deakin,17.0,neilson street,rosetta village,kirrawee,2148,19211013.0,7372
rec-5601-org,ruby,bishop,145.0,kavel street,,leppington,3350,19810628.0,5601
rec-10886-org,lachlan,hazell,2.0,kneebone street,,macmasters beach,3910,19570522.0,10886
rec-7417-org,jean-claude,tiboldo,21.0,rose scott circuit,grandview,topi topi,4070,19540805.0,7417
rec-6300-org,katelyn,clarke,56.0,balonne street,,proserpine,3350,19810527.0,6300
rec-4720-org,xavier,jessup,138.0,crozier circuit,,seven hills,6060,19860111.0,4720
rec-10306-org,thomas,haussen,70.0,deamer crescent,,parmelia,3185,,10306
rec-5441-org,joel,campbell,1.0,macindoe place,,toronto,3011,19990618.0,5441
rec-2292-org,carlin,herbert,11.0,nardoo crescent,,exmouth,0812,19730404.0,2292
rec-3524-org,jack,white,,newbery crescent,cave ridge,cabramatta,6057,19470117.0,3524
rec-10116-org,thomas,carless,103.0,moorhouse street,legacy vlge,orange,3073,,10116
rec-2979-org,michael,tridgell,12.0,wynn street,murray vale lodge,goodwood,3928,19141104.0,2979
rec-9587-org,ebony,clarke,12.0,jaeger circuit,clear creek,belmont,2541,19790710.0,9587
rec-8560-org,,fitzpatrick,19.0,nash place,,ascot vale,7184,19101217.0,8560
rec-10220-org,chelsea,joannou,44.0,jenkinson street,,brighton,2745,19741021.0,10220
rec-6839-org,skye,stranger,40.0,waite street,,mona vale,2422,19550517.0,6839
rec-5939-org,kailey,herbert,184.0,carslake loop,,ormond,2750,,5939
rec-6659-org,anna,warneke,29.0,littler place,little forest,cairns,4215,19030403.0,6659
rec-9791-org,evan,piszcyk,8.0,hambidge crescent,,moss vale,2216,19661109.0,9791
rec-7060-org,gillian,badman,40.0,monaro crescent,walmarie,sale,2037,19780227.0,7060
rec-7162-org,calvin,clarke,7.0,santalum street,,sussex inlet,6530,19730503.0,7162
rec-2122-org,abby,kallis,1286.0,jeanette place,,malabar,3199,19471209.0,2122
rec-3440-org,ashleigh,nguyen,9.0,lukin place,kiloran,flowerdale,4378,19360522.0,3440
rec-8216-org,alisa,boxer,300.0,pennington crescent,,broken hill,3660,19550917.0,8216
rec-4153-org,ellie,amagula,746.0,hubbe street,,towradgi,2530,19840313.0,4153
