rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,date_of_birth,sorting_key
rec-2896-dup-0,zachazuah,miell,73.0,neeld place,,anglsea,3163,19850524.0,2896
rec-5417-dup-0,jagco,galarneau,55.0,dobell circuit,,sunshine,4261,19880618.0,5417
rec-3033-dup-0,fioan,zilm,8.0,sternberg cbescent,beth-el,redbank plains,2478,19479316.0,3033
rec-6306-dup-0,tremellen,madisln,8.0,,,nowra,4359,,6306
rec-9846-dup-0,willism,reif,64.0,chewingsnstreet,,toukley,6640,19222027.0,9846
rec-3925-dup-0,leah,godfrey,194.0,ballaratktreet,,jingelic,2640,19471207.0,3925
rec-9279-dup-0,breeanne,maynayd,17.0,allan tsxeet,,cromer,3514,19150703.0,9279
rec-4123-dup-0,harrison,feast,263.0,,village walk (cnr high s street,toowoomba,2617,19430809.0,4123
rec-7166-dup-0,bradady,silvestro,0.0,ashby circuit,,granvkle,4305,19260310.0,7166
rec-187-dup-0,matthews,emma,32.0,hawdon street,,mannum,2013,19866218.0,187
rec-5138-dup-0,alexandra,micheltore,2.0,heagney crescent,,roxburgh park,3101,19830714.0,5138
rec-9428-dup-0,hayley,shepherdson,8.0,derringtontcrescent,old dairy,tennant creek,6222,19222123.0,9428
rec-2904-dup-0,amber,,77.0,clive steele avenue,,sunshine,3280,19222121.0,2904
rec-4588-dup-0,stephenosn,alexaser,3.0,armytage circuit,,brunswick west,3058,19700408.0,4588
rec-2709-dup-0,jackxin,slicer,40.0,,,buninyong,3148,19470723.0,2709
rec-10205-dup-0,sarah,doman,103.0,ina gregoruocircuit,,wunghnu,2580,19230012.0,10205
rec-8872-dup-0,ruvbdn,freuell,18.0,couvreur sfreet,,dover gardens,3045,19250102.0,8872
rec-1357-dup-0,george,speight,80.0,,,bicton,3414,19451135.0,1357
rec-5969-dup-0,,brohe,5.0,davison place,,berwick,7322,19430123.0,5969
rec-2268-dup-0,jet,white,14.0,beasleymqstreet,,sylvania,3690,,2268
rec-3269-dup-0,ebony,pateruson,45.0,mina wylieh crescent,,carey guglly,3243,,3269
